Wavelength,Reflectance
399.94182664339735, 0.27770562770562757
404.304828388598, 0.22720057720057707
410.12216404886567, 0.1875180375180373
424.66550319953467, 0.16406926406926392
435.5730075625364, 0.17128427128427115
441.390343222804, 0.1839105339105337
446.48051192553817, 0.20555555555555527
453.02501454333924, 0.22900432900432888
458.84235020360677, 0.24704184704184684
466.11401977894127, 0.2632756132756131
474.8400232693426, 0.27770562770562757
486.4746945898779, 0.2903318903318902
495.9278650378128, 0.30295815295815287
506.108202443281, 0.3119769119769118
515.5613728912159, 0.3119769119769118
524.2873763816173, 0.2939393939393937
531.5590459569518, 0.27409812409812395
538.8307155322863, 0.2596681096681096
543.9208842350205, 0.2542568542568542
550.4653868528214, 0.2560606060606059
559.1913903432229, 0.2632756132756131
567.1902268760907, 0.265079365079365
576.6433973240256, 0.2560606060606059
582.4607329842933, 0.27049062049062034
586.0965677719605, 0.2939393939393937
588.2780686445609, 0.3137806637806636
591.1867364746946, 0.3390331890331889
595.5497382198953, 0.38051948051948037
599.912739965096, 0.42380952380952364
604.2757417102968, 0.4616883116883116
608.6387434554975, 0.4923520923520922
614.4560791157651, 0.5194083694083693
621.7277486910996, 0.5446608946608945
630.4537521815009, 0.5645021645021644
641.3612565445027, 0.5825396825396825
650.0872600349041, 0.5933621933621933
660.9947643979059, 0.6059884559884559
671.1751018033741, 0.6186147186147185
678.4467713787086, 0.6294372294372292
690.8086096567772, 0.6402597402597402
706.0791157649796, 0.6546897546897545
718.4409540430484, 0.6582972582972582
731.5299592786505, 0.6582972582972582
741.7102966841187, 0.6510822510822509
755.5264688772543, 0.642063492063492
765.7068062827226, 0.642063492063492
772.9784758580571, 0.6492784992784992
783.1588132635253, 0.6582972582972582
794.7934845840606, 0.6601010101010101
799.8836532867947, 0.6601010101010101
